size,run,sec_size,num_gates,process_time,initial_rss,final_rss
75,5,3,1886,0.046875,124997632,124997632
76,1,3,1874,0.03125,125628416,125628416
76,2,3,1912,0.046875,124497920,124497920
76,3,3,1903,0.046875,125353984,125353984
76,4,3,1907,0.046875,124772352,124772352
76,5,3,1937,0.046875,124260352,124260352
77,1,3,1956,0.046875,124989440,124989440
77,2,3,1935,0.046875,125091840,125153280
77,3,3,1966,0.046875,125435904,125435904
77,4,3,1952,0.0625,125116416,125116416
77,5,3,1947,0.046875,125526016,125526016
78,1,3,2021,0.0625,124997632,124997632
78,2,3,2018,0.046875,125657088,125657088
78,3,3,1992,0.046875,123379712,123379712
78,4,3,1979,0.046875,125165568,125165568
78,5,3,2022,0.046875,123613184,123617280
79,1,3,2050,0.0625,125370368,125370368
79,2,3,2040,0.046875,125919232,125919232
79,3,3,2060,0.0625,125526016,125657088
79,4,3,2056,0.0625,124833792,124973056
79,5,3,2039,0.046875,125005824,125005824
80,1,3,2106,0.0625,125726720,125726720
80,2,3,2125,0.046875,124768256,124768256
80,3,3,2102,0.046875,125472768,125472768
80,4,3,2064,0.046875,124510208,124510208
80,5,3,2084,0.046875,125468672,125468672
81,1,3,2128,0.0625,124821504,124887040
81,2,3,2120,0.046875,123621376,123621376
81,3,3,2155,0.0625,124837888,124903424
81,4,3,2153,0.0625,124993536,125059072
81,5,3,2179,0.046875,125227008,125227008
82,1,3,2163,0.0625,125517824,125583360
82,2,3,2217,0.046875,123777024,123781120
82,3,3,2198,0.0625,125403136,125403136
82,4,3,2189,0.046875,126349312,126414848
82,5,3,2215,0.0625,125173760,125173760
83,1,3,2258,0.0625,126181376,126181376
83,2,3,2239,0.046875,125530112,125530112
83,3,3,2278,0.0625,125796352,125796352
83,4,3,2215,0.046875,125890560,125890560
83,5,3,2228,0.03125,125534208,125534208
84,1,3,2288,0.046875,125927424,125927424
84,2,3,2302,0.046875,126582784,126582784
84,3,3,2295,0.03125,125247488,125272064
84,4,3,2276,0.046875,125808640,125939712
84,5,3,2316,0.046875,126423040,126423040
85,1,3,2324,0.0625,125911040,125911040
85,2,3,2366,0.046875,126369792,126369792
85,3,3,2315,0.0625,126107648,126107648
85,4,3,2388,0.046875,125718528,125718528
85,5,3,2380,0.078125,125218816,125218816
86,1,3,2441,0.0625,124137472,124203008
86,2,3,2415,0.0625,125390848,125456384
86,3,3,2403,0.046875,125042688,125042688
86,4,3,2400,0.046875,125411328,125476864
86,5,3,2402,0.078125,125145088,125214720
87,1,3,2431,0.078125,125607936,125620224
87,2,3,2471,0.078125,126562304,126562304
87,3,3,2456,0.0625,125349888,125362176
87,4,3,2429,0.078125,124780544,124788736
87,5,3,2489,0.0625,126279680,126287872
88,1,3,2509,0.046875,126144512,126144512
88,2,3,2508,0.046875,126435328,126439424
88,3,3,2524,0.046875,126906368,126906368
88,4,3,2511,0.078125,126259200,126259200
88,5,3,2507,0.03125,126803968,126803968
89,1,3,2577,0.09375,127275008,127279104
89,2,3,2551,0.078125,125186048,125186048
89,3,3,2556,0.09375,125513728,125513728
89,4,3,2585,0.0625,124768256,124768256
89,5,3,2564,0.078125,125726720,125726720
90,1,3,2610,0.0625,126193664,125104128
90,2,3,2583,0.046875,126943232,126943232
90,3,3,2630,0.0625,126091264,125059072
90,4,3,2624,0.0625,126062592,126062592
90,5,3,2659,0.046875,126201856,126201856
91,1,3,2693,0.046875,126398464,126398464
91,2,3,2672,0.0625,126115840,126185472
91,3,3,2668,0.0625,126377984,126443520
91,4,3,2687,0.078125,125841408,125841408
91,5,3,2687,0.078125,125239296,125304832
92,1,3,2700,0.0625,125698048,125763584
92,2,3,2766,0.09375,125829120,125829120
92,3,3,2730,0.03125,126349312,126349312
92,4,3,2766,0.09375,125337600,125403136
92,5,3,2716,0.0625,125865984,125964288
93,1,3,2815,0.046875,125845504,125845504
93,2,3,2788,0.046875,126447616,126447616
93,3,3,2809,0.0625,125517824,125517824
93,4,3,2785,0.046875,125599744,125599744
93,5,3,2794,0.046875,125591552,125591552
94,1,3,2845,0.09375,125063168,125145088
94,2,3,2858,0.078125,125730816,125796352
94,3,3,2842,0.078125,126459904,126476288
94,4,3,2851,0.0625,126119936,126185472
94,5,3,2860,0.09375,126103552,126197760
95,1,3,2895,0.078125,126324736,126390272
95,2,3,2940,0.078125,126316544,125038592
95,3,3,2910,0.046875,126046208,126046208
95,4,3,2919,0.078125,125919232,125992960
95,5,3,2894,0.046875,125657088,125726720
96,1,3,2930,0.0625,125534208,125534208
96,2,3,2983,0.0625,125542400,125542400
96,3,3,2971,0.09375,125501440,125501440
96,4,3,2947,0.078125,126472192,126472192
96,5,3,2947,0.09375,125759488,125759488
97,1,3,3009,0.0625,125427712,125493248
97,2,3,3033,0.0625,125390848,125456384
97,3,3,3007,0.078125,125415424,125480960
97,4,3,3001,0.046875,126205952,126271488
97,5,3,3010,0.046875,126459904,126525440
98,1,3,3084,0.046875,127799296,127799296
98,2,3,3114,0.046875,125747200,125878272
98,3,3,3088,0.046875,125505536,125636608
98,4,3,3097,0.046875,125722624,125853696
98,5,3,3096,0.078125,125366272,125431808
99,1,3,3170,0.125,126050304,125845504
99,2,3,3144,0.0625,126623744,126689280
99,3,3,3136,0.0625,125415424,125415424
99,4,3,3166,0.0625,125362176,125362176
99,5,3,3169,0.046875,125132800,125132800
100,1,3,3207,0.0625,125431808,125431808
100,2,3,3205,0.078125,125853696,125853696
100,3,3,3177,0.046875,125870080,125870080
100,4,3,3245,0.046875,126398464,126398464
100,5,3,3223,0.0625,126529536,126595072
